Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Methodology,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",571,4147-176337780-176338350-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-11-19,,,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","2,710",4147-176346892-176349601-VCU-016-MER-AU-14-641-16042012-15042013-0,,2020-05-21,Powershop Australia Pty Ltd,NCOS Programme,Offsets retired for Powershop electricity product accreditation
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",100,4014-172081781-172081880-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-12-10,,,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","3,000",4014-172081881-172084880-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-03-09,,Retirement for Person or Organization,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,494",4014-172104189-172105682-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-04-03,,Retirement for Person or Organization,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","4,900",4014-172084881-172089780-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-12-10,,,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",6,4014-172105683-172105688-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-08-07,,Retirement for Person or Organization,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",550,4014-172105689-172106238-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-10-22,Toll Group,Other,Retired on behalf of Toll Group for NCOS Building Standard in reporting period FY2017/2018
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",50,4014-172106239-172106288-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-12-10,J Goddard & Co,Other,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",27,4014-172106289-172106315-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-12-10,Gaia Partnership,Other,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",140,4014-172106316-172106455-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-07-10,Resolution Capital,Other,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",211,4014-172106456-172106666-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-08-09,Banyule City Council,Other,Banyule City Council - 103395
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,574",4014-172106667-172108240-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-08-12,Dimension Data,Other,Sales Project 103398 - Dimension Data
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",878,4014-172108241-172109118-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-10-03,,,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",325,4014-172109119-172109443-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-10-03,,,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",40,4014-172109444-172109483-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-10-18,,,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",69,4014-172109484-172109552-VCU-016-MER-AU-14-641-16042012-15042013-0,,2020-01-08,Frasers Property Australia,Other,"Retired on behalf of Industria Company No. 2 Pty Limited to support its carbon neutral claim against the Climate Active Carbon Neutral Building Standard for, Building C 1C Homebush Bay Drive, from 01/09/2018 to 31/08/2019"
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","2,130",4014-172089781-172091910-VCU-016-MER-AU-14-641-16042012-15042013-0,,2015-10-09,,Other,2130 NCOS compliant offsets retired for Adelaide City Council 2015
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","3,084",4014-172091911-172094994-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-04-27,,Other,Retired on behalf of La Trobe University for their flight emissions in CY2015
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",658,4014-172094995-172095652-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-06-09,,Other,Emissions Offset; Climate Friendly Clients (2015)
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","8,470",4014-172095653-172104122-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-12-10,,Other,Emissions Offset; Climate Friendly Clients (CY2016)
