Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Methodology,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
2014-02-11,,2012-03-13,2013-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",727,3228-145700223-145700949-VCU-016-MER-AU-14-605-13032012-12032013-0,,2019-08-12,,,
2014-02-11,,2012-03-13,2013-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",211,3228-145700950-145701160-VCU-016-MER-AU-14-605-13032012-12032013-0,,2019-11-06,,,
2014-02-11,,2012-03-13,2013-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",62,3228-145701161-145701222-VCU-016-MER-AU-14-605-13032012-12032013-0,,2019-11-06,Georges River Council,Other,For Georges River Council's certification under the National Carbon Offset Standard.
2014-02-11,,2012-03-13,2013-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",35,3228-145701223-145701257-VCU-016-MER-AU-14-605-13032012-12032013-0,,2019-12-20,Rally Australia,Other,Retired on behalf of Rally Australia for WRC 2018
2014-02-11,,2012-03-13,2013-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",47,3228-145701258-145701304-VCU-016-MER-AU-14-605-13032012-12032013-0,,2020-01-29,Frasers Property Australia,Other,"Retired on behalf of APN Funds Management Limited to support its carbon neutral claim against the Climate Active Carbon Neutral Building Standard for, Building A 1A Homebush Bay Drive, from 01/09/2018 to 31/08/2019"
2014-02-11,,2012-03-13,2013-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183","1,500",3228-145697418-145698917-VCU-016-MER-AU-14-605-13032012-12032013-0,,2015-10-07,,Other,Emissions Offset: Climate Friendly Clients (CY2014)
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","1,000",3229-145723613-145724612-VCU-016-MER-AU-14-587-01032012-28022013-0,,2016-02-08,,Retirement for Person or Organization,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","1,729",3229-145725613-145727341-VCU-016-MER-AU-14-587-01032012-28022013-0,,2016-08-07,,Retirement for Person or Organization,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","1,000",3229-145724613-145725612-VCU-016-MER-AU-14-587-01032012-28022013-0,,2016-05-19,,Environmental Benefit,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",393,3229-145727342-145727734-VCU-016-MER-AU-14-587-01032012-28022013-0,,2016-08-07,,Retirement for Person or Organization,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",624,3229-145727735-145728358-VCU-016-MER-AU-14-587-01032012-28022013-0,,2016-11-08,,Retirement for Person or Organization,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","2,643",3229-145728359-145731001-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-02-14,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","1,006",3229-145731002-145732007-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-09-26,Crown Resorts Pty Limited,NCOS Programme,Cancelled on behalf of Crown Resorts Pty Limited to meet its carbon neutral claim against the National Carbon Offset Standard for Calendar Year 2017.
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","2,500",3229-145738613-145741112-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-07-12,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","6,500",3229-145744113-145750612-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-09-28,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","5,900",3229-145762663-145768562-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-03-27,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","3,200",3229-145759413-145762612-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-09-07,DHL,Retirement for Person or Organization,Retirement for DHL under the Qantas Future Planet Programme
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",50,3229-145762613-145762662-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-09-26,Crown Resorts Pty Limited,NCOS Programme,Cancelled on behalf of Crown Resorts Pty Limited to meet its carbon neutral claim against the National Carbon Offset Standard for Calendar Year 2017.
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",40,3229-145732008-145732047-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-10-23,Qantas Airways Limited,Retirement for Person or Organization,Cancelled on behalf of Qantas Future Planet for Future Business Council Limited.
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",200,3229-145732048-145732247-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-11-01,Cromwell Group Pty Limited,Retirement for Person or Organization,Cancelled on behalf of Cromwell Group Pty Limited under the Qantas Future Planet Program.
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",178,3229-145732248-145732425-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-11-12,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",200,3229-145732426-145732625-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-11-29,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",136,3229-145732626-145732761-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-02-12,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",700,3229-145732762-145733461-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-04-11,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",100,3229-145733462-145733561-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-06-19,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",106,3229-145733562-145733667-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-07-09,Qantas Airways Limited,NCOS Programme,Retired on behalf of Qantas Airways Limited to meet its Fly Carbon Neutral & QFP.com obligations under the National Carbon Offset Standard for the period financial year 2018/19.
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",40,3229-145733668-145733707-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-07-09,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",888,3229-145733708-145734595-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-09-10,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",268,3229-145734596-145734863-VCU-016-MER-AU-14-587-01032012-28022013-0,,2020-01-07,Cromwell Group Pty Limited,NCOS Programme,Cancelled on behalf of Cromwell Group Pty Limited to meet its carbon neutral claim against the National Carbon Offset Standard for the FY 19 period
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",556,3229-145734864-145735419-VCU-016-MER-AU-14-587-01032012-28022013-0,,2020-10-14,Qantas Airways Limited,NCOS Programme,Retired on behalf of Qantas Airways Limited to meet its obligations under the Climate Active Carbon Neutral Standard for the period financial year 2019/20
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",523,3229-145774334-145774856-VCU-016-MER-AU-14-587-01032012-28022013-0,,2020-06-26,Austral Bricks,Environmental Benefit,Retired on behalf of Austral Bricks for the Climate Active certification corresponding to FY2019-20 reporting period
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",733,3229-145735613-145736345-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-07-28,,Other,Retired on behalf of Challenger for 2016/17 operational emissions
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",5,3229-145736346-145736350-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-08-10,,Other,Retired on behalf of RMIT - Towards Carbon Neutral Event 2017
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",756,3229-145736351-145737106-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-09-04,,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",192,3229-145737107-145737298-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-09-29,,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","1,000",3229-145737299-145738298-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-10-04,,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",212,3229-145738299-145738510-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-10-30,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",102,3229-145738511-145738612-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-12-06,,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","2,940",3229-145741113-145744052-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-08-30,,Other,CWW carbon emissions for 2016/17 operational period
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",60,3229-145744053-145744112-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-09-29,,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","5,800",3229-145750613-145756412-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-10-31,,Other,Retired on behalf of Zoos Victoria for its 2016-17 claim under the Carbon Neutral Program
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",691,3229-145756413-145757103-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-12-06,,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",120,3229-145757104-145757223-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-12-14,,Other,Retire on behalf of Melbourne Airport
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",74,3229-145757224-145757297-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-12-19,,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",36,3229-145757298-145757333-VCU-016-MER-AU-14-587-01032012-28022013-0,,2017-12-19,,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",800,3229-145757334-145758133-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-03-26,,Other,retired for Brickworks Daniel Robertson Carbon Neutral Bricks
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",642,3229-145758134-145758775-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-11-28,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",110,3229-145758776-145758885-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-11-28,"Building F, 1 Homebush Bay Drive, Rhodes NSW 2138",Other,"Retired on behalf of Building F, 1 Homebush Bay Drive, Rhodes NSW 2138 for NCOS building certification for the NABERS rating period of 1/10/2017 to 30/09/2018"
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",527,3229-145758886-145759412-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-11-28,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","3,240",3229-145768563-145771802-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-09-26,Zoos Victoria,Other,Retired for Zoos Victoria’s Carbon Neutral program
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",13,3229-145771803-145771815-VCU-016-MER-AU-14-587-01032012-28022013-0,,2018-11-28,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",655,3229-145771816-145772470-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-04-04,Rally Australia,Other,Retired on behalf of Rally Australia for WRC 2017
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",50,3229-145772471-145772520-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-06-14,Tour Gold Coast,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",9,3229-145772521-145772529-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-07-10,_,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",69,3229-145772530-145772598-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-07-11,Resolution Capital,Other,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",46,3229-145772599-145772644-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-07-15,Resolution Capital,Other,Resolution Capital Q3 2018 - sales project 103313
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","1,052",3229-145772645-145773696-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-10-04,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",525,3229-145773697-145774221-VCU-016-MER-AU-14-587-01032012-28022013-0,,2019-11-22,Toll Group,Other,"Retired on behalf of Toll Group, 32-54 Toll Drive, Altona North, Vic 3025 for NCOS Building Standard in reporting period FY2018/2019"
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",93,3229-145774222-145774314-VCU-016-MER-AU-14-587-01032012-28022013-0,,2020-01-14,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",9,3229-145774315-145774323-VCU-016-MER-AU-14-587-01032012-28022013-0,,2020-01-16,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",10,3229-145774324-145774333-VCU-016-MER-AU-14-587-01032012-28022013-0,,2020-01-16,,,
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",650,3229-145706752-145707401-VCU-016-MER-AU-14-587-01032012-28022013-0,,2014-08-14,,Other,Retired on behalf of Rally Australia
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","15,199",3229-145707402-145722600-VCU-016-MER-AU-14-587-01032012-28022013-0,,2015-10-07,,Other,Emissions Offset: Climate Friendly Clients (CY2014)
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","3,500",3229-145702601-145706100-VCU-016-MER-AU-14-587-01032012-28022013-0,,2014-04-03,,Other,Retired on behalf of City of Whittlesea for their 2013 operational emissions
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",50,3229-145706101-145706150-VCU-016-MER-AU-14-587-01032012-28022013-0,,2014-06-02,,Other,Retired on behalf of Go Green Plant Hire for their carbon emissions for 2014
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",601,3229-145706151-145706751-VCU-016-MER-AU-14-587-01032012-28022013-0,,2014-06-17,,Other,Retired on behalf of the Australian National University to offset CY2013 fleet emissions
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","1,012",3229-145722601-145723612-VCU-016-MER-AU-14-587-01032012-28022013-0,,2014-05-20,,Other,Retired on behalf of Voyager Estate Pty Ltd
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",575,3229-145775482-145776056-VCU-016-MER-AU-14-587-01032012-28022013-0,,2022-02-07,_,Environmental Benefit,Retired on behalf of Toll Group for NCOS Building Standard in reporting period FY2019/2020
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",45,3229-145735420-145735464-VCU-016-MER-AU-14-587-01032012-28022013-0,,2021-02-15,Qantas Airways Limited,NCOS Programme,Retired on behalf of Qantas Airways Limited to meet its obligations under the Climate Active Carbon Neutral Standard for the period financial year 2020/21.
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",148,3229-145735465-145735612-VCU-016-MER-AU-14-587-01032012-28022013-0,,2022-02-23,Surf Coast Shire Council,NCOS Programme,These units were retired on behalf of Surf Coast Shire to support its carbon neutral claim against the Climate Active Carbon Neutral Standard.
2014-02-11,,2012-03-01,2013-02-28,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",400,3229-145776057-145776456-VCU-016-MER-AU-14-587-01032012-28022013-0,,2023-01-23,Zip Money Payments Pty Limited,Environmental Benefit,Retired on behalf of Zip Money Payments Pty Limited
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",120,2656-116621285-116621404-VCU-016-MER-AU-14-605-13032011-12032012-0,,2014-02-20,,Environmental Benefit,
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",100,2656-116621405-116621504-VCU-016-MER-AU-14-605-13032011-12032012-0,,2013-08-26,,Retirement for Person or Organization,
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",380,2656-116621505-116621884-VCU-016-MER-AU-14-605-13032011-12032012-0,,2013-10-01,,Environmental Benefit,
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",200,2656-116624067-116624266-VCU-016-MER-AU-14-605-13032011-12032012-0,,2018-07-20,,Other,
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",52,2656-116624267-116624318-VCU-016-MER-AU-14-605-13032011-12032012-0,,2018-04-03,,Other,
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",66,2656-116624319-116624384-VCU-016-MER-AU-14-605-13032011-12032012-0,,2018-06-26,,Other,Retired on behalf of Banyule City Council for part of its FY16/17 operations
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",787,2656-116624385-116625171-VCU-016-MER-AU-14-605-13032011-12032012-0,,2018-07-20,,Other,
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",806,2656-116621885-116622690-VCU-016-MER-AU-14-605-13032011-12032012-0,,2013-10-25,,Other,Retired on behalf of the Qantas/Jetstar Voluntary Carbon Offset Program
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",194,2656-116622691-116622884-VCU-016-MER-AU-14-605-13032011-12032012-0,,2014-08-26,,Other,Emissions Offset: Climate Friendly Clients (CY2013)
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183","1,182",2656-116622885-116624066-VCU-016-MER-AU-14-605-13032011-12032012-0,,2015-02-06,,Other,Destination NSW operational emission offsets for 2014
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",817,2656-116625172-116625988-VCU-016-MER-AU-14-605-13032011-12032012-0,,2013-10-25,,Other,Retired on behalf of the Qantas/Jetstar Voluntary Carbon Offset Program
2013-01-23,,2011-03-13,2012-03-12,605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,Agriculture Forestry and Other Land Use,VM0010,"5,183",479,2656-116625989-116626467-VCU-016-MER-AU-14-605-13032011-12032012-0,,2014-08-26,,Other,Emissions Offset: Climate Friendly Clients (CY2013)
2013-01-23,,2011-03-01,2012-02-29,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","3,120",2657-116630597-116633716-VCU-016-MER-AU-14-587-01032011-29022012-0,,2014-09-22,,Other,
2013-01-23,,2011-03-01,2012-02-29,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",800,2657-116644415-116645214-VCU-016-MER-AU-14-587-01032011-29022012-0,,2014-09-03,,NCOS Programme,
2013-01-23,,2011-03-01,2012-02-29,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856",325,2657-116645215-116645539-VCU-016-MER-AU-14-587-01032011-29022012-0,,2014-09-10,,Retirement for Person or Organization,
2013-01-23,,2011-03-01,2012-02-29,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","1,880",2657-116645540-116647419-VCU-016-MER-AU-14-587-01032011-29022012-0,,2015-11-05,,Other,Retired against FY15 emissions
2013-01-23,,2011-03-01,2012-02-29,587,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Australia,Agriculture Forestry and Other Land Use,VM0010,"73,856","2,812",2657-116647420-116650231-VCU-016-MER-AU-14-587-01032011-29022012-0,,2014-09-29,,Retirement for Person or Organization,
